Temperature (K),Pressure (MPa),Na+,K+,Mg+2,Ca+2,SO4-2,Cl-,Dissolved CO2 (mol/kg)
359.09,30.319479750000003,2.3945,0.0,0.0,0.0,0.0,2.3945,0.85561
359.09,32.124078000000004,2.3945,0.0,0.0,0.0,0.0,2.3945,0.86964
359.09,34.09484925,2.3945,0.0,0.0,0.0,0.0,2.3945,0.88416
359.09,36.24901875,2.3945,0.0,0.0,0.0,0.0,2.3945,0.89919
359.09,38.60381175,2.3945,0.0,0.0,0.0,0.0,2.3945,0.91475
359.09,41.1805065,2.3945,0.0,0.0,0.0,0.0,2.3945,0.93085
359.09,44.00038125,2.3945,0.0,0.0,0.0,0.0,2.3945,0.94752
359.09,47.08674075,2.3945,0.0,0.0,0.0,0.0,2.3945,0.96475
359.09,50.4659295,2.3945,0.0,0.0,0.0,0.0,2.3945,0.98257
359.09,54.168345,2.3945,0.0,0.0,0.0,0.0,2.3945,1.001
359.09,58.22641125,2.3945,0.0,0.0,0.0,0.0,2.3945,1.02
359.09,62.675591999999995,2.3945,0.0,0.0,0.0,0.0,2.3945,1.0395
359.09,67.55641725,2.3945,0.0,0.0,0.0,0.0,2.3945,1.0597
359.09,72.9154965,2.3945,0.0,0.0,0.0,0.0,2.3945,1.0805
359.09,78.80349225,2.3945,0.0,0.0,0.0,0.0,2.3945,1.1018
359.09,85.279173,2.3945,0.0,0.0,0.0,0.0,2.3945,1.1236
359.09,92.40738675,2.3945,0.0,0.0,0.0,0.0,2.3945,1.146
359.09,100.26412725,2.3945,0.0,0.0,0.0,0.0,2.3945,1.1689
359.09,108.9345075,2.3945,0.0,0.0,0.0,0.0,2.3945,1.1922
359.09,118.5198525,2.3945,0.0,0.0,0.0,0.0,2.3945,1.2159
359.09,129.148845,2.3945,0.0,0.0,0.0,0.0,2.3945,1.2399
359.09,140.9329425,2.3945,0.0,0.0,0.0,0.0,2.3945,1.2641
321.66,0.0,3.3554,0.0,0.0,0.0,0.0,3.3554,0.0
321.66,0.010035228,3.3554,0.0,0.0,0.0,0.0,3.3554,0.0
321.66,1.00733262,3.3554,0.0,0.0,0.0,0.0,3.3554,0.10999
321.66,1.953039375,3.3554,0.0,0.0,0.0,0.0,3.3554,0.20416
321.66,2.841456975,3.3554,0.0,0.0,0.0,0.0,3.3554,0.28403
321.66,3.66857295,3.3554,0.0,0.0,0.0,0.0,3.3554,0.35109
321.66,4.432259475,3.3554,0.0,0.0,0.0,0.0,3.3554,0.40693
321.66,5.131807275,3.3554,0.0,0.0,0.0,0.0,3.3554,0.45307
321.66,5.768128275,3.3554,0.0,0.0,0.0,0.0,3.3554,0.49096
321.66,6.3433503,3.3554,0.0,0.0,0.0,0.0,3.3554,0.52192
321.66,6.8605130999999995,3.3554,0.0,0.0,0.0,0.0,3.3554,0.54713
321.66,7.323467025,3.3554,0.0,0.0,0.0,0.0,3.3554,0.56761
321.66,7.736771699999999,3.3554,0.0,0.0,0.0,0.0,3.3554,0.58423
321.66,8.105290725,3.3554,0.0,0.0,0.0,0.0,3.3554,0.59774
321.66,8.434191675000001,3.3554,0.0,0.0,0.0,0.0,3.3554,0.60874
321.66,8.728844775,3.3554,0.0,0.0,0.0,0.0,3.3554,0.61777
321.66,8.994721575,3.3554,0.0,0.0,0.0,0.0,3.3554,0.62525
321.66,9.237394949999999,3.3554,0.0,0.0,0.0,0.0,3.3554,0.63152
321.66,9.462640425,3.3554,0.0,0.0,0.0,0.0,3.3554,0.63688
321.66,9.676030875,3.3554,0.0,0.0,0.0,0.0,3.3554,0.64157
321.66,9.88344315,3.3554,0.0,0.0,0.0,0.0,3.3554,0.64579
321.66,10.090652775,3.3554,0.0,0.0,0.0,0.0,3.3554,0.6497
321.66,10.30373925,3.3554,0.0,0.0,0.0,0.0,3.3554,0.65343
321.66,10.52868075,3.3554,0.0,0.0,0.0,0.0,3.3554,0.6571
321.66,10.77186075,3.3554,0.0,0.0,0.0,0.0,3.3554,0.66079
321.66,11.040372,3.3554,0.0,0.0,0.0,0.0,3.3554,0.66459
321.66,11.33928075,3.3554,0.0,0.0,0.0,0.0,3.3554,0.66857
321.66,11.67770625,3.3554,0.0,0.0,0.0,0.0,3.3554,0.67277
321.66,12.061728,3.3554,0.0,0.0,0.0,0.0,3.3554,0.67724
321.66,12.50046525,3.3554,0.0,0.0,0.0,0.0,3.3554,0.68203
321.66,12.999997500000001,3.3554,0.0,0.0,0.0,0.0,3.3554,0.68716
321.66,13.5714705,3.3554,0.0,0.0,0.0,0.0,3.3554,0.69268
321.66,14.22299025,3.3554,0.0,0.0,0.0,0.0,3.3554,0.6986
321.66,14.96468925,3.3554,0.0,0.0,0.0,0.0,3.3554,0.70495
321.66,15.807713249999999,3.3554,0.0,0.0,0.0,0.0,3.3554,0.71174
321.66,16.76422125,3.3554,0.0,0.0,0.0,0.0,3.3554,0.71901
321.66,17.846372249999998,3.3554,0.0,0.0,0.0,0.0,3.3554,0.72675
321.66,19.069364999999998,3.3554,0.0,0.0,0.0,0.0,3.3554,0.735
321.66,20.446371749999997,3.3554,0.0,0.0,0.0,0.0,3.3554,0.74375
321.66,21.995631,3.3554,0.0,0.0,0.0,0.0,3.3554,0.75302
321.66,23.73538125,3.3554,0.0,0.0,0.0,0.0,3.3554,0.76283
321.66,25.68487425,3.3554,0.0,0.0,0.0,0.0,3.3554,0.77316
321.66,27.8664015,3.3554,0.0,0.0,0.0,0.0,3.3554,0.78404
321.66,30.306307500000003,3.3554,0.0,0.0,0.0,0.0,3.3554,0.79546
321.66,33.0299235,3.3554,0.0,0.0,0.0,0.0,3.3554,0.80742
321.66,36.07068675,3.3554,0.0,0.0,0.0,0.0,3.3554,0.81992
321.66,39.46102125,3.3554,0.0,0.0,0.0,0.0,3.3554,0.83294
321.66,43.2394305,3.3554,0.0,0.0,0.0,0.0,3.3554,0.84648
321.66,47.452524,3.3554,0.0,0.0,0.0,0.0,3.3554,0.86051
321.66,52.146911249999995,3.3554,0.0,0.0,0.0,0.0,3.3554,0.87501
321.66,57.382374000000006,3.3554,0.0,0.0,0.0,0.0,3.3554,0.88995
321.66,63.221733750000006,3.3554,0.0,0.0,0.0,0.0,3.3554,0.90527
321.66,69.7419975,3.3554,0.0,0.0,0.0,0.0,3.3554,0.92093
321.66,77.02827825,3.3554,0.0,0.0,0.0,0.0,3.3554,0.93685
321.66,85.18392750000001,3.3554,0.0,0.0,0.0,0.0,3.3554,0.95295
321.66,94.32648225,3.3554,0.0,0.0,0.0,0.0,3.3554,0.96912
321.66,104.5977975,3.3554,0.0,0.0,0.0,0.0,3.3554,0.98523
321.66,116.1691125,3.3554,0.0,0.0,0.0,0.0,3.3554,1.0011
321.66,129.2400375,3.3554,0.0,0.0,0.0,0.0,3.3554,1.0166
321.66,144.0537525,3.3554,0.0,0.0,0.0,0.0,3.3554,1.0313
461.02,0.0,0.3955,0.0,0.0,0.0,0.0,0.3955,0.0
461.02,1.18448925,0.3955,0.0,0.0,0.0,0.0,0.3955,0.0
461.02,2.67072435,0.3955,0.0,0.0,0.0,0.0,0.3955,0.1079
461.02,4.131628200000001,0.3955,0.0,0.0,0.0,0.0,0.3955,0.20909
461.02,5.568822,0.3955,0.0,0.0,0.0,0.0,0.3955,0.30418
461.02,6.984737549999999,0.3955,0.0,0.0,0.0,0.0,0.3955,0.39364
461.02,8.382110625,0.3955,0.0,0.0,0.0,0.0,0.3955,0.47797
461.02,9.763980974999999,0.3955,0.0,0.0,0.0,0.0,0.3955,0.55763
461.02,11.133591,0.3955,0.0,0.0,0.0,0.0,0.3955,0.63307
